"","rowname","node","betweenness","vector","sample.effort","residuals","Central","Central_effort"
"1","abrawayaomys.ruschii",1,2.32550763420293,2,3,11.9348285619998,"Non-Central","Non-Central"
"2","akodon.cursor",2,1220.32097013527,34,61,73.5705605539375,"Central","Central"
"3","akodon.montensis",3,2453.31025263831,45,124,50.5139288832646,"Central","Central"
"4","akodon.paranaensis",4,4.21848713708031,3,7,65.9211388667874,"Non-Central","Central"
"5","calomys.tener",5,145.58296835019,9,13,44.180078051174,"Central","Non-Central"
"6","caluromys.philander",6,26.028762133477,3,6,24.1736271374746,"Non-Central","Non-Central"
"7","cerradomys.subflavus",7,218.960040029581,9,15,10.6774798376149,"Central","Non-Central"
"8","delomys.dorsalis",8,32.7869193680945,6,9,77.2271801016054,"Non-Central","Central"
"9","delomys.sublineatus",9,1.37280015395204,2,2,30.9193578146647,"Non-Central","Non-Central"
"10","didelphis.albiventris",10,4246.10010307047,58,182,686.944048806287,"Central","Central"
"11","didelphis.aurita",11,2929.77377276866,50,186,709.13122842718,"Central","Central"
"12","euryoryzomys.russatus",12,260.866927289781,17,32,307.703617036988,"Central","Central"
"13","gracilinanus.agilis",13,563.227502190435,17,34,45.2175156021664,"Central","Non-Central"
"14","gracilinanus.microtarsus",14,75.553667087202,7,7,5.41404108333431,"Central","Non-Central"
"15","hylaeamys.seuanezi",15,63.309745732857,5,6,13.1073564619054,"Non-Central","Non-Central"
"16","marmosa.demerarae",16,15.9465562948683,4,4,5.61864048974881,"Non-Central","Non-Central"
"17","marmosa.murina",17,546.448620047591,9,19,237.06215324873,"Central","Central"
"18","marmosa.paraguayana",18,6.51854844707254,2,2,36.0651061077852,"Non-Central","Non-Central"
"19","marmosops.incanus",19,32.5478854873224,4,6,17.6545037836292,"Non-Central","Non-Central"
"20","marmosops.paulensis",20,0,1,1,49.4837943936287,"Non-Central","Non-Central"
"21","metachirus.myosuros",21,207.224690133201,6,11,57.3361171976688,"Central","Central"
"22","monodelphis.americana",22,39.878638004626,5,7,30.2609879992417,"Non-Central","Non-Central"
"23","necromys.lasiurus",23,1933.40074007696,33,80,407.842832570217,"Central","Central"
"24","nectomys.squamipes",24,1330.68345715614,26,83,254.686160549354,"Central","Central"
"25","oecomys.catherinae",25,0,1,1,49.4837943936287,"Non-Central","Non-Central"
"26","oligoryzomys.flavescens",26,69.3379789698373,8,11,80.5505939656947,"Central","Central"
"27","oligoryzomys.nigripes",27,2041.21166036011,37,108,42.5888756682834,"Central","Non-Central"
"28","oxymycterus.dasytrichus",28,129.619017414942,5,9,19.6049179452423,"Central","Non-Central"
"29","oxymycterus.delator",29,5.26179560105566,3,5,25.0033569369799,"Non-Central","Non-Central"
"30","oxymycterus.quaestor",30,0,1,1,49.4837943936287,"Non-Central","Non-Central"
"31","philander.quica",31,6.30977539211623,4,4,4.01814041300323,"Non-Central","Non-Central"
"32","rhipidomys.mastacalis",32,0,1,1,49.4837943936287,"Non-Central","Non-Central"
"33","sooretamys.angouya",33,67.6909913981786,8,8,22.3858713386051,"Non-Central","Non-Central"
"34","thaptomys.nigrita",34,57.4135300333256,7,13,132.349516368039,"Non-Central","Central"
"35","trinomys.dimidiatus",35,0.767689463095478,2,3,10.377010390892,"Non-Central","Non-Central"
"36","trinomys.paratus",36,0,1,1,49.4837943936287,"Non-Central","Non-Central"
